BỆNH VIỆN BỆNH NHIỆT ĐỚI,Thành phố Hồ Chí Minh,Quận 5, Đc: 190 BẾN HÀM TỬ- P.1- Q.5- TP. HCM ,10.7529024,106.6763215
BỆNH VIỆN DA LIỄU,Thành phố Hồ Chí Minh,Quận 3, Đc: 2 NGUYỄN THÔNG- P.6- Q.3- TP. HCM 10.7768607,106.6847811
BỆNH VIỆN MẮT TP.HCM,Thành phố Hồ Chí Minh,Quận 3, Đc: 280 ĐIỆN BIÊN PHỦ- P.7- Q.3- TP. HCM ,10.7785512,106.6827471
BỆNH VIỆN TAI MŨI HỌNG TP.HCM,Thành phố Hồ Chí Minh,Quận 3, Đc: 155B TRẦN QUỐC THẢO- P.9- Q.3- TP. HCM ,10.7843522,106.6818328
BỆNH VIỆN RĂNG HÀM MẶT TP.HCM,Thành phố Hồ Chí Minh,Quận 1, Đc: 263-265 TRẦN HƯNG ĐẠO- P.CG- Q.1- TP. HCM ,10.7607345,106.667406
BỆNH VIỆN NHÂN DÂN 115,Thành phố Hồ Chí Minh,Quận 10, Đc: 88 THÀNH THÁI- P.12- Q.10- TP. HCM ,10.7746964,106.6649142
BỆNH VIỆN NHI ĐỒNG 2,Thành phố Hồ Chí Minh,Quận 1, Đc: 14 LÝ TỰ TRỌNG- P.BN- Q.1- TP. HCM ,10.7808424,106.7001251
BỆNH VIỆN NHI ĐỒNG 1,Thành phố Hồ Chí Minh,Quận 10, Đc: 341 SƯ VẠN HẠNH- P.10- Q.10- TP. HCM ,10.7685603,106.6679702
BỆNH VIỆN TRƯỜNG ĐH Y DƯỢC,Thành phố Hồ Chí Minh,Quận 5, Đc: 215 HỒNG BÀNG- P.11- Q.5- TP. HCM ,10.7685602,106.6614041
BỆNH VIỆN 30 THÁNG 4,Thành phố Hồ Chí Minh,Quận 5, Đc: 9 SƯ VẠN HẠNH- P.9- Q.5- TP. HCM ,106.6708428,10.7591033
BỆNH VIỆN RĂNG HÀM MẶT TW,Thành phố Hồ Chí Minh,Quận 5, Đc: 201 NGUYỄN CHÍ THANH- P.12- Q.5- TP. HCM ,10.7579393,106.6583029
BỆNH VIỆN CHỢ RẪY,Thành phố Hồ Chí Minh,Quận 5, Đc: 201B NGUYỄN CHÍ THANH- P.12- Q.5- TP. HCM,10.7570385,106.6575418
BỆNH VIỆN NGUYỄN TRÃI,Thành phố Hồ Chí Minh,Quận 5, Đc: 314 NGUYỄN TRÃI- P.8- Q.5- TP. HCM,10.7567717,106.672733
BỆNH VIỆN ĐA KHOA HOÀN MỸ,Thành phố Hồ Chí Minh,Quận 3, Đc: 124 TRẦN QUỐC THẢO- P.7- Q.3- TP. HCM,10.7558521,106.6267619
BỆNH VIỆN NGUYỄN TRI PHƯƠNG,Thành phố Hồ Chí Minh,Quận 5, Đc: 468 NGUYỄN TRÃI- P.8- Q.5- TP. HCM,10.7555408,106.6679491
BỆNH VIỆN PHẠM NGỌC THẠCH,Thành phố Hồ Chí Minh,Quận 5, Đc: 120 HÙNG VƯƠNG- P.12- Q.5- TP. HCM,10.7563308,106.6633152
QUÂN Y VIỆN 175,Thành phố Hồ Chí Minh,Quận Gò Vấp, Đc: 782 NGUYỄN KIỆM- P.3- Q.GV- TP. HCM ,10.8187651,106.6779233
BỆNH VIỆN ĐA KHOA SÀI GÒN,Thành phố Hồ Chí Minh,Quận 1, Đc: 125 LÊ LỢI- P.BT- Q.1- TP. HCM,10.7720503,106.697079
BỆNH VIỆN THỐNG NHẤT ,Thành phố Hồ Chí Minh,Quận Tân Bình, Đc: 1 LÝ THƯỜNG KIỆT- P.7- Q.TB- TP. HCM,10.7913464,106.6512435
BỆNH VIỆN NHÂN DÂN GIA ĐỊNH,Thành phố Hồ Chí Minh,Quận Bình Tân, Đc: 1 NƠ TRANG LONG- P.7- Q.BT- TP. HCM,10.8037837 ,106.6919569
BỆNH VIỆN TRƯNG VƯƠNG,Thành phố Hồ Chí Minh,Quận 10, Đc: 266 LÝ THƯỜNG KIỆT- P.14- Q.10- TP. HCM,10.7633715,106.6627528
VIỆN Y DƯỢC HỌC DÂN TỘC,Thành phố Hồ Chí Minh,Quận 1, Đc: 273-275 NGUYỄN VĂN TRỖI- P.10- Q.PN- TP. HCM,10.7977902,106.669372
BỆNH VIỆN PHỤ SẢN TỪ DŨ,Thành phố Hồ Chí Minh,Quận 1, Đc: 284 CỐNG QUỲNH- P.PNL- Q.1- TP. HCM,10.7685374 ,106.683337
VIỆN TIM TP.HCM,Thành phố Hồ Chí Minh,Quận 1, Đc: 88 THÀNH THÁI- P.12- Q.10- TP. HCM,10.7733641,106.6646809
BỆNH VIỆN ĐA KHOA VẠN HẠNH,Thành phố Hồ Chí Minh,Quận 1, Đc: 72-74 SƯ VẠN HẠNH- P.12- Q.10- TP. HCM ,10.7717848,106.6691945
